newname,oldname,year ,state/UT,,,
Jabalpur,Jubbulpore,1947,Madhya Pradesh,,,
Jajmau,Jajesmow,1948,Uttar Pradesh,,,
Kanpur,Cawnpore,1948,Uttar Pradesh,,,
Vadodara,Baroda,1974,Gujarat,,,
Thiruvananthapuram,Trivandrum,1991,Tamil Nadu,,,
Mumbai,Bombay,1995,Maharashtra,,,
Kochi,Cochin,1996,Kerala,,,
Chennai,Madras,1996,Tamil Nadu,,,
Kolkata,Calcutta,2001,West Bengal,,,
Medininagar,Daltonganj,2004,Jharkhand,,,
Kadapa,Cuddapah,2005,Andhra Pradesh,,,
Puducherry,Pondicherry,2006,Puducherry,,,
Bengaluru,Bangalore,2007,Karnataka,,,
Belagavi,Belgaum,2007,Karnataka,,,
Tumakuru,Tumkur,2007,Karnataka,,,
Hubballi,Hubli,2007,Karnataka,,,
Shivamogga,Shimoga,2007,Karnataka,,,
Hosapete,Hospet,2007,Karnataka,,,
Mysuru,Mysore,2007,Karnataka,,,
Kalaburagi,Gulbarga,2007,Karnataka,,,
Chikkamagaluru,Chikmagalur,2007,Karnataka,,,
Vijayapura,Bijapur,2007,Karnataka,,,
Ballari,Bellary,2007,Karnataka,,,
Mangaluru,Mangalore,2007,Karnataka,,,
Rajahmahendravaram,Rajahmundry,2015,Andhra Pradesh,,,
Gurugram,Gurgaon,2016,Haryana,,,
Prayagraj,Allahabad,2018,Uttar Pradesh,,,
Atal Nagar,New Raipur,2018,Chattisgarh,,,
Narmadapuram,Hoshangabad,2021,Madhya Pradesh,,,
Alappuzha,Alleppey,1956,Kerala,,,
Baranagar,Barahanagore,1947,West Bengal,,,
Guwahati,Gauhati,1950,Assam,,,
Indore,Indhur,1956,Madhya Pradesh,,,
Kanchipuram,Conjevaram,1950,Tamil Nadu,,,
Kannur,Cannanore,1956,Kerala,,,
Kollam,Quilon,1956,Kerala,,,
Kozhikode,Calicut,1956,Kerala,,,
Kumbakonam,Kudanthai,1950,Tamil Nadu,,,
Palakkad,Palghat,1956,Kerala,,,
Panaji,Panjim,1961,Goa,,,
Pune,Poona,1978,Maharashtra,,,
Sagar,Saugor,1956,Madhya Pradesh,,,
Shimla,Simla,1972,Himachal Pradesh,,,
Thalassery,Tellicherry,1956,Kerala,,,
Thanjavur,Tanjore,1950,Tamil Nadu,,,
Thane,Tannah,1996,Maharashtra,,,
Thoothukudi,Tuticorin,1950,Tamil Nadu,,,
Thrissur,Trichur,1956,Kerala,,,
Tiruchirapalli,Trichinopoly,1950,Tamil Nadu,,,
Tirunelveli,Tinnevelly,1950,Tamil Nadu,,,
Udhagamandalam,Ootacamund,1950,Tamil Nadu,,,
Varanasi,Benares,1950,Uttar Pradesh,,,
Vijayawada,Bezawada,1956,Andhra Pradesh,,,
Waltair,Vishakapatnam,1956,Andhra Pradesh,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
